merges,ngram_n,vocab_size,delta,val_token_ppl,tokenizer_tag
100,1,358,1.0,95.21695836234558,bpe_0100
100,2,358,1.0,31.913932532426028,bpe_0100
100,3,358,1.0,21.308545507205178,bpe_0100
100,4,358,1.0,46.048063150232444,bpe_0100
200,1,458,1.0,160.9161306609573,bpe_0200
200,2,458,1.0,43.17676233402214,bpe_0200
200,3,458,1.0,40.109060360904024,bpe_0200
200,4,458,1.0,111.3916728774733,bpe_0200
300,1,558,1.0,223.89163907659503,bpe_0300
300,2,558,1.0,53.38636329489265,bpe_0300
300,3,558,1.0,66.19994381963589,bpe_0300
300,4,558,1.0,188.76256949139125,bpe_0300
500,1,758,1.0,339.6717092855789,bpe_0500
500,2,758,1.0,71.9093030791291,bpe_0500
500,3,758,1.0,134.62263997157345,bpe_0500
500,4,758,1.0,348.8633068899208,bpe_0500
1000,1,1258,1.0,587.3777315807682,bpe_1000
1000,2,1258,1.0,123.63979406603862,bpe_1000
1000,3,1258,1.0,379.99704933256186,bpe_1000
1000,4,1258,1.0,778.5253550182154,bpe_1000
